timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2
19123, 0.0027423901483416557, 0.0017274017445743084, 0.0038775051943957806, -0.00011383314995327964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19143, 0.003006788669154048, 0.002035919576883316, 0.005306581500917673, 0.0013445999938994646, 126802.5625, 157431.4375, 97268.125, 117350.96875, 142177.40625, 103872.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12133670598268509, 374.0, 0, 0, 0
19163, 0.0027001118287444115, 0.00204469938762486, 0.0036696463357657194, 0.0015193887520581484, 126810.875, 157427.53125, 97260.015625, 117348.125, 142185.609375, 103871.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12151557207107544, 372.0, 0.0, 0.0, 0.0
19183, 0.003025611862540245, 0.0020535218063741922, 0.0050485203973948956, 0.0015460883732885122, 126807.03125, 157427.53125, 97262.0390625, 117348.125, 142179.703125, 103871.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12261581420898438, 372.0, 0.0, 0.0, 0.0
19203, 0.0026989439502358437, 0.0020595358218997717, 0.0034708615858107805, 0.0016749441856518388, 126806.3984375, 157431.4375, 97262.53125, 117348.125, 142181.5, 103872.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1231466606259346, 372.0, 0.0, 0.0, 0.0
19223, 0.002773045329377055, 0.002096678828820586, 0.004003614187240601, 0.0020157145336270332, 126806.3984375, 157429.484375, 97262.8125, 117346.6015625, 142181.5, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12410154193639755, 376.0, 0.0, 0.0, 0.0
19243, 0.0031651121098548174, 0.001732733566313982, 0.005697052925825119, 0.0005607400089502335, 126804.796875, 157429.484375, 97262.8125, 117344.421875, 142184.28125, 103874.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12458106875419617, 376.0, 0.0, 0.0, 0.0
19263, 0.002740617608651519, 0.002060301136225462, 0.003764922497794032, 0.0021001347340643406, 126801.9296875, 157429.484375, 97264.0703125, 117350.3125, 142181.5, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12303347140550613, 376.0, 0.0, 0.0, 0.0
19283, 0.003100487869232893, 0.0017219189321622252, 0.0052858502604067326, 0.0006080096354708076, 126808.6328125, 157433.40625, 97263.296875, 117347.265625, 142177.890625, 103872.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12097308784723282, 379.0, 0.0, 0.0, 0.0
19303, 0.0027664180379360914, 0.0017237477004528046, 0.003855316201224923, 0.0008106400491669774, 126800.953125, 157427.53125, 97263.296875, 117350.96875, 142179.703125, 103869.9765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11760548502206802, 379.0, 0.0, 0.0, 0.0
19323, 0.003028291277587414, 0.0017294366843998432, 0.004957570694386959, 0.0006949325324967504, 126810.875, 157431.4375, 97262.0390625, 117341.578125, 142179.703125, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1218571737408638, 379.0, 0.0, 0.0, 0.0
19343, 0.003069594269618392, 0.0020851981826126575, 0.005181852728128433, 0.002279004780575633, 126802.5625, 157431.4375, 97258.4765625, 117350.3125, 142176.921875, 103871.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12335006147623062, 375.0, 0.0, 0.0, 0.0
19363, 0.0026297278236597776, 0.0020526351872831583, 0.0030929569620639086, 0.0023879248183220625, 126811.5078125, 157425.5625, 97260.015625, 117347.265625, 142177.40625, 103872.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12788823246955872, 375.0, 0.0, 0.0, 0.0
19383, 0.0029405117966234684, 0.001758850528858602, 0.004420944955199957, 0.0013118376955389977, 126806.3984375, 157429.484375, 97257.984375, 117350.96875, 142177.40625, 103875.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12376143038272858, 375.0, 0.0, 0.0, 0.0
19403, 0.002653770847246051, 0.00207871594466269, 0.003110376885160804, 0.0027299122884869576, 126804.1640625, 157433.40625, 97260.015625, 117348.125, 142177.890625, 103883.7265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1258837878704071, 378.0, 0.0, 0.0, 0.0
19423, 0.0026150066405534744, 0.002025759778916836, 0.0030133770778775215, 0.002839126158505678, 126802.5625, 157429.484375, 97252.6796875, 117346.6015625, 142171.015625, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12310232222080231, 378.0, 0.0, 0.0, 0.0
19443, 0.002594835590571165, 0.001972292782738805, 0.0027808931190520525, 0.0032726561184972525, 126808.0078125, 157431.4375, 97258.7578125, 117354.015625, 142175.59375, 103870.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11905667185783386, 378.0, 0.0, 0.0, 0.0
19463, 0.002648130990564823, 0.0020446095149964094, 0.003100056666880846, 0.0038703391328454018, 126806.3984375, 157429.484375, 97257.984375, 117348.125, 142181.5, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12160392105579376, 377.0, 0.0, 0.0, 0.0
19483, 0.00271484162658453, 0.0021252615842968225, 0.0036702838260680437, 0.004369775764644146, 126804.796875, 157427.53125, 97254.703125, 117345.0859375, 142183.796875, 103863.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12204738706350327, 377.0, 0.0, 0.0, 0.0
19503, 0.0029572576750069857, 0.001738824648782611, 0.004469773266464472, 0.0026800537016242743, 126804.1640625, 157431.4375, 97256.734375, 117350.96875, 142181.5, 103878.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1244988813996315, 377.0, 0.0, 0.0, 0.0
19523, 0.002609873889014125, 0.002000863663852215, 0.002992801135405898, 0.003929418046027422, 126803.1875, 157429.484375, 97254.703125, 117348.7890625, 142179.21875, 103875.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12112618237733841, 376.0, 0.0, 0.0, 0.0
19543, 0.002676543081179261, 0.002079291734844446, 0.003321356140077114, 0.004441083874553442, 126804.1640625, 157429.484375, 97260.015625, 117356.1953125, 142181.984375, 103876.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1180875226855278, 376.0, 0.0, 0.0, 0.0
