timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
42390, 0.002813356462866068, 0.011027994565665722, 0.011264819651842117, 0.005455228965729475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0769275575876236, 0.10650976747274399, 0.013219454166733442
42410, 0.002137330360710621, 0.011028769426047802, 0.007103424519300461, 0.005656756926327944, 132172.921875, 156361.515625, 89562.796875, 126728.890625, 144838.15625, 107296.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07291029393672943, 517.0, 0.0, 0.0, 0.0, -0.07693570852279663, 0.10651521384716034, 0.01318209248611334
42430, 0.002137967152521014, 0.011034074239432812, 0.0068167634308338165, 0.00551485363394022, 132159.0, 156361.515625, 89565.0703125, 126727.8984375, 144840.4375, 107296.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07308144867420197, 517.0, 0.0, 0.0, 0.0, -0.07693841308355331, 0.10657090693712234, 0.01322863655888644
42450, 0.0018945117481052876, 0.011257033795118332, 0.0058083729818463326, 0.006628991570323706, 132172.921875, 156359.59375, 89567.8046875, 126723.4453125, 144846.359375, 107294.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06851878017187119, 522.0, 0.0, 0.0, 0.0, -0.07692049443721771, 0.10652066022157669, 0.012928662853407618
42470, 0.0023158611729741096, 0.011044993996620178, 0.007927272468805313, 0.005573050118982792, 132172.921875, 156361.515625, 89563.9296875, 126724.0625, 144840.4375, 107300.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0750422552227974, 522.0, 0.0, 0.0, 0.0, -0.07696589827537537, 0.10645363479852676, 0.013454667305170167
42490, 0.0032002113293856382, 0.011702531948685646, 0.012643251568078995, 0.00905565544962883, 132170.671875, 156363.421875, 89561.9921875, 126725.0546875, 144844.078125, 107296.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07400476932525635, 515.0, 0.0, 0.0, 0.0, -0.07693478465080261, 0.10652389377355576, 0.013202348043388141
42510, 0.002126674633473158, 0.011695961467921734, 0.00664165336638689, 0.008861228823661804, 132171.28125, 156363.421875, 89567.8046875, 126723.4453125, 144847.296875, 107291.2734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07223430275917053, 515.0, 0.0, 0.0, 0.0, -0.07693363726139069, 0.10657288879156113, 0.013180560024691966
42530, 0.003063733922317624, 0.010223150253295898, 0.011858057230710983, 0.0007360627641901374, 132162.890625, 156361.515625, 89565.8671875, 126734.9453125, 144844.546875, 107296.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07108333706855774, 515.0, 0.0, 0.0, 0.0, -0.07691897451877594, 0.10658693313598633, 0.013643857132125157
42550, 0.0031865795608609915, 0.01117001660168171, 0.012052646838128567, 0.006271081976592541, 132175.171875, 156361.515625, 89567.8046875, 126722.8359375, 144851.390625, 107294.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07485295832157135, 515.0, 0.0, 0.0, 0.0, -0.07700806111097336, 0.10644165426492691, 0.011910452785053966
42570, 0.0017620192375034094, 0.01161835715174675, 0.003927239682525396, 0.009047719649970531, 132166.78125, 156363.421875, 89567.8046875, 126725.0546875, 144841.3125, 107287.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0716489851474762, 515.0, 0.0, 0.0, 0.0, -0.07686267048120499, 0.10650179535150528, 0.013580896790420635
42590, 0.00220885151065886, 0.011835744604468346, 0.006262979004532099, 0.01029578410089016, 132176.796875, 156361.515625, 89563.1328125, 126721.2265625, 144839.5, 107293.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07194307446479797, 515.0, 0.0, 0.0, 0.0, -0.07691431045532227, 0.10661499947309494, 0.012979991410141932
