timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
12385, 0.0017543518915772438, 0.0003882096498273313, 0.0029002735391259193, -0.0015697390772402287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.08762884140014648, -0.03403808921575546, -0.035361747206952426
12405, 0.0025297068059444427, 0.0011941673001274467, 0.0067799328826367855, 0.0028829106595367193, 135828.859375, 156198.734375, 91865.921875, 131201.3125, 145861.90625, 109392.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05710512772202492, 273.0, 0, 0, 0, -0.087489552795887, -0.034297749400138855, -0.035809922802362316
12425, 0.002224487252533436, 0.0011672882828861475, 0.00481838546693325, 0.002828416181728244, 135830.53125, 156196.828125, 91869.484375, 131207.453125, 145868.296875, 109386.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057365529239177704, 273.0, 0.0, 0.0, 0.0, -0.08761163055896759, -0.03403245657682419, -0.035222382070790675
12445, 0.002527418779209256, 0.0011882034596055746, 0.006339249201118946, 0.0031292566563934088, 135832.796875, 156194.90625, 91868.6796875, 131199.078125, 145868.296875, 109389.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057197414338588715, 273.0, 0.0, 0.0, 0.0, -0.08748137950897217, -0.03430831804871559, -0.03616488514105796
12465, 0.002748438622802496, 0.0003868242201860994, 0.007478674408048391, -0.0008980848360806704, 135837.90625, 156193.0, 91874.5703125, 131199.65625, 145864.1875, 109391.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05779728293418884, 274.0, 0.0, 0.0, 0.0, -0.0876399502158165, -0.03401804715394974, -0.03553325344322869
12485, 0.0024538966827094555, 0.0013880622573196888, 0.0059304977767169476, 0.004334521945565939, 135831.703125, 156196.828125, 91872.609375, 131201.3125, 145865.078125, 109391.8046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05839890241622925, 274.0, 0.0, 0.0, 0.0, -0.08764779567718506, -0.03402846306562424, -0.03537022384290853
12505, 0.0024973491672426462, 0.00038199880509637296, 0.006163251586258411, -0.0010967390844598413, 135837.3125, 156196.828125, 91870.6484375, 131209.6875, 145864.1875, 109396.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057026952505111694, 274.0, 0.0, 0.0, 0.0, -0.08748240768909454, -0.03430614620447159, -0.035739224660199284
12525, 0.00272799888625741, 0.0011378579074516892, 0.007578457240015268, 0.0029811840504407883, 135829.4375, 156196.828125, 91875.734375, 131211.9375, 145861.90625, 109392.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056439358741045, 273.0, 0.0, 0.0, 0.0, -0.08764288574457169, -0.03403158113360405, -0.035483928449049504
12545, 0.002209493424743414, 0.0004233240324538201, 0.005201477557420731, -0.0005435669445432723, 135840.15625, 156198.734375, 91881.2578125, 131209.6875, 145860.515625, 109394.6484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06085079908370972, 273.0, 0.0, 0.0, 0.0, -0.08746211230754852, -0.034250322729349136, -0.0355752971321694
12565, 0.0017230097437277436, 0.000670874840579927, 0.002711993409320712, 0.0011860678205266595, 135825.5, 156200.640625, 91877.3359375, 131210.28125, 145865.546875, 109392.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05698075518012047, 273.0, 0.0, 0.0, 0.0, -0.0876893550157547, -0.03411256521940231, -0.03674201825690277
12585, 0.0019604945555329323, 0.0011255338322371244, 0.004388651344925165, 0.0040006921626627445, 135842.421875, 156198.734375, 91877.3359375, 131204.140625, 145864.1875, 109393.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05071164667606354, 273.0, 0.0, 0.0, 0.0, -0.08749768137931824, -0.034368112683296204, -0.0368989427911509
12605, 0.0017445988487452269, 0.0006340178078971803, 0.0033152999822050333, 0.0015556808793917298, 135843.015625, 156198.734375, 91882.421875, 131195.171875, 145865.546875, 109398.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054783206433057785, 273.0, 0.0, 0.0, 0.0, -0.08765558898448944, -0.03410669043660164, -0.03636074078221833
12625, 0.002481953939422965, 0.0011242468608543277, 0.007406104356050491, 0.004176551941782236, 135834.546875, 156198.734375, 91882.421875, 131209.6875, 145861.4375, 109398.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051353029906749725, 272.0, 0.0, 0.0, 0.0, -0.08770472556352615, -0.03408851474523544, -0.036288295220011486
12645, 0.0021998933516442776, 0.001080983318388462, 0.0058468980714678764, 0.004548018332570791, 135845.78125, 156198.734375, 91886.3515625, 131208.03125, 145871.046875, 109399.6015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05642138049006462, 272.0, 0.0, 0.0, 0.0, -0.0875423327088356, -0.034330278635025024, -0.03669836081349033
12665, 0.0024764484260231256, 0.001116233761422336, 0.007075384724885225, 0.00461317365989089, 135840.15625, 156198.734375, 91888.3125, 131201.3125, 145868.296875, 109397.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054181408137083054, 272.0, 0.0, 0.0, 0.0, -0.08766383677721024, -0.03412534296512604, -0.03510037942491993
12685, 0.001745360204949975, 0.0004165673453826457, 0.0030437451787292957, 0.0007046253303997219, 135842.421875, 156196.828125, 91889.109375, 131208.03125, 145861.90625, 109398.8828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05352430045604706, 271.0, 0.0, 0.0, 0.0, -0.08766146749258041, -0.03406333178281784, -0.035535647187288445
12705, 0.001956992084160447, 0.0013366005150601268, 0.004460945725440979, 0.006283362861722708, 135838.484375, 156196.828125, 91883.2265625, 131219.25, 145859.609375, 109401.71875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05337163805961609, 271.0, 0.0, 0.0, 0.0, -0.08771827071905136, -0.03410214185714722, -0.037768732621668875
12725, 0.0023923239205032587, 0.0004271522630006075, 0.006913560908287764, 0.0021052327938377857, 135846.359375, 156200.640625, 91889.46875, 131210.28125, 145863.265625, 109401.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056607190519571304, 271.0, 0.0, 0.0, 0.0, -0.08751359581947327, -0.03432685136795044, -0.036639308274811676
12745, 0.002457928378134966, 0.001383162452839315, 0.006976604927331209, 0.007393306121230125, 135846.359375, 156198.734375, 91887.1484375, 131208.03125, 145869.1875, 109397.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05258921533823013, 273.0, 0.0, 0.0, 0.0, -0.08771537244319916, -0.034108515828847885, -0.03793256726679197
12765, 0.0027710699941962957, 0.001215391675941646, 0.007861826568841934, 0.005411122925579548, 135843.015625, 156200.640625, 91892.59375, 131214.171875, 145865.546875, 109396.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05434269458055496, 273.0, 0.0, 0.0, 0.0, -0.08782392740249634, -0.03405231237411499, -0.03915868252055253
12785, 0.0022709008771926165, 0.0014512932393699884, 0.004735447466373444, 0.005892102140933275, 135848.625, 156196.828125, 91891.078125, 131206.875, 145865.546875, 109395.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054461412131786346, 273.0, 0.0, 0.0, 0.0, -0.08763633668422699, -0.03411279246211052, -0.03674550017097261
12805, 0.002787117613479495, 0.0015008834889158607, 0.0071297273971140385, 0.006054727826267481, 135846.359375, 156196.828125, 91891.4375, 131211.9375, 145872.390625, 109403.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05286284163594246, 271.0, 0.0, 0.0, 0.0, -0.08764220774173737, -0.03405699506402016, -0.03695994401631376
12825, 0.0023297821171581745, 0.0015353435883298516, 0.004682255908846855, 0.006362362299114466, 135850.890625, 156198.734375, 91898.484375, 131211.9375, 145872.390625, 109403.7890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052298590540885925, 271.0, 0.0, 0.0, 0.0, -0.0876641795039177, -0.03412016108632088, -0.03666060446244188
12845, 0.0024329901207238436, 0.0016719471896067262, 0.005166096147149801, 0.007018482778221369, 135849.203125, 156196.828125, 91892.234375, 131216.421875, 145867.828125, 109400.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05290023982524872, 271.0, 0.0, 0.0, 0.0, -0.0877256989479065, -0.034199461340904236, -0.036529415245957514
12865, 0.002384292194619775, 0.0016129950527101755, 0.004862456116825342, 0.005719813518226147, 135849.203125, 156198.734375, 91896.1640625, 131218.65625, 145870.109375, 109410.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05285801738500595, 272.0, 0.0, 0.0, 0.0, -0.08773375302553177, -0.034174639731645584, -0.036379233287352354
12885, 0.0026824898086488247, 0.0016224461141973734, 0.005880769342184067, 0.005305303726345301, 135859.34375, 156198.734375, 91897.328125, 131223.734375, 145867.828125, 109398.8828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053360603749752045, 272.0, 0.0, 0.0, 0.0, -0.08758906275033951, -0.03418289124965668, -0.03586483539140905
12905, 0.0026320992037653923, 0.0015938309952616692, 0.005533372517675161, 0.005340430419892073, 135846.953125, 156200.640625, 91895.359375, 131220.3125, 145863.265625, 109404.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05583808943629265, 272.0, 0.0, 0.0, 0.0, -0.08742655813694, -0.034407854080200195, -0.036837459832391506
12925, 0.002594307530671358, 0.0012915084371343255, 0.00576833775267005, 0.004157743416726589, 135855.921875, 156198.734375, 91897.6875, 131220.3125, 145870.578125, 109402.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056789763271808624, 271.0, 0.0, 0.0, 0.0, -0.08756615966558456, -0.03430604934692383, -0.037971257073910324
12945, 0.002642850624397397, 0.0015949985245242715, 0.005670606624335051, 0.005532427225261927, 135853.140625, 156200.640625, 91900.0859375, 131214.171875, 145861.4375, 109402.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056761011481285095, 271.0, 0.0, 0.0, 0.0, -0.08768127113580704, -0.03417722135782242, -0.03587369654779075
12965, 0.00240015028975904, 0.0016174397896975279, 0.0038486479315906763, 0.005176851525902748, 135857.09375, 156200.640625, 91901.25, 131216.421875, 145863.265625, 109409.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05745326727628708, 273.0, 0.0, 0.0, 0.0, -0.08753786981105804, -0.03426046669483185, -0.036835183817619646
12985, 0.0017983476864174008, 0.00048702338244765997, 0.0005171337979845703, -0.00025632037431932986, 135853.140625, 156200.640625, 91905.1796875, 131220.3125, 145870.109375, 109410.8671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057289835065603256, 273.0, 0.0, 0.0, 0.0, -0.08788496255874634, -0.03404238075017929, -0.04026886014021651
13005, 0.0026494290214031935, 0.0015780767425894737, 0.004970332141965628, 0.005807308480143547, 135850.890625, 156198.734375, 91904.375, 131221.484375, 145863.265625, 109410.8671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06035233661532402, 273.0, 0.0, 0.0, 0.0, -0.0875466987490654, -0.034339096397161484, -0.037100196712983695
13025, 0.0023580892011523247, 0.0016571262385696173, 0.0029917252250015736, 0.005081578623503447, 135857.671875, 156200.640625, 91906.3359375, 131217.0, 145859.609375, 109404.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05907860025763512, 272.0, 0.0, 0.0, 0.0, -0.08771898597478867, -0.03420610353350639, -0.03706831096704024
13045, 0.0018064790638163686, 0.000766234821639955, -0.00030292244628071785, 0.0004242771537974477, 135857.671875, 156196.828125, 91904.375, 131215.828125, 145869.65625, 109405.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0612093023955822, 272.0, 0.0, 0.0, 0.0, -0.08774377405643463, -0.034145426005125046, -0.03759224469203268
13065, 0.0023359903134405613, 0.0015543615445494652, 0.0035641274880617857, 0.004259872250258923, 135853.140625, 156198.734375, 91906.3359375, 131216.421875, 145874.21875, 109412.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06317707896232605, 272.0, 0.0, 0.0, 0.0, -0.08772435784339905, -0.034209467470645905, -0.036586543637003276
13085, 0.0025636139325797558, 0.0015196028398349881, 0.004929183050990105, 0.004898715764284134, 135857.09375, 156198.734375, 91907.140625, 131225.875, 145873.75, 109412.984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0648093968629837, 273.0, 0.0, 0.0, 0.0, -0.08769039064645767, -0.03408364579081535, -0.036896869010188425
13105, 0.002318841405212879, 0.0015205302042886615, 0.003577145515009761, 0.004318372346460819, 135853.140625, 156196.828125, 91909.1015625, 131224.796875, 145865.546875, 109405.90625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06523611396551132, 273.0, 0.0, 0.0, 0.0, -0.08751526474952698, -0.034426234662532806, -0.03641020364812222
13125, 0.001807242282666266, 0.00040774347144179046, 0.001022221753373742, -0.0017462738323956728, 135863.875, 156202.5625, 91914.9921875, 131224.796875, 145880.609375, 109413.65625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06590507179498672, 273.0, 0.0, 0.0, 0.0, -0.08765766024589539, -0.03412046283483505, -0.03629257004498978
13145, 0.0018000700511038303, 0.0012033157981932163, 0.0014078292297199368, 0.0030468322802335024, 135857.671875, 156200.640625, 91911.8671875, 131223.140625, 145874.6875, 109416.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06610952317714691, 273.0, 0.0, 0.0, 0.0, -0.08749857544898987, -0.034368790686130524, -0.03644072899312051
13165, 0.0023449871223419905, 0.00016296454123221338, 0.004349141847342253, -0.002379056066274643, 135859.9375, 156200.640625, 91918.1171875, 131227.046875, 145867.359375, 109415.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06579707562923431, 273.0, 0.0, 0.0, 0.0, -0.0875808447599411, -0.034043457359075546, -0.034858710090654596
13185, 0.00183329067658633, 0.0007027944666333497, 0.0015082473400980234, 0.0005978452390991151, 135857.671875, 156202.5625, 91911.0625, 131218.65625, 145871.9375, 109409.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0658416599035263, 273.0, 0.0, 0.0, 0.0, -0.08746357262134552, -0.03433851897716522, -0.0342799447021938
13205, 0.00277586723677814, 0.0004553822218440473, 0.006637189537286758, -9.319907985627651e-05, 135857.09375, 156198.734375, 91920.078125, 131222.5625, 145867.828125, 109414.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0676034688949585, 273.0, 0.0, 0.0, 0.0, -0.08744309842586517, -0.034296393394470215, -0.03503103206218206
13225, 0.0022598649375140667, 0.0014120825799182057, 0.004015753045678139, 0.005249324254691601, 135866.71875, 156200.640625, 91916.15625, 131220.90625, 145869.65625, 109411.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06770066916942596, 273.0, 0.0, 0.0, 0.0, -0.08774401247501373, -0.034031808376312256, -0.037735326311958396
13245, 0.003049964550882578, 0.0014983507571741939, 0.0075960843823850155, 0.005119170993566513, 135860.515625, 156198.734375, 91913.03125, 131222.5625, 145871.46875, 109413.703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06968484073877335, 273.0, 0.0, 0.0, 0.0, -0.08745881915092468, -0.03433791548013687, -0.0363594463512753
13265, 0.0018255716422572732, 0.0007489699637517333, 0.0012319058878347278, 0.0003832074871752411, 135865.546875, 156198.734375, 91914.1875, 131227.046875, 145869.65625, 109418.6171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06831875443458557, 272.0, 0.0, 0.0, 0.0, -0.08747007697820663, -0.034408632665872574, -0.0348933017969898
13285, 0.0018182644853368402, 0.0009647492552176118, 0.0017528112512081861, 0.002134613459929824, 135865.546875, 156202.5625, 91920.8828125, 131229.875, 145869.1875, 109412.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06892986595630646, 272.0, 0.0, 0.0, 0.0, -0.08769338577985764, -0.03403962403535843, -0.03646072897979258
13305, 0.002493250882253051, 0.0014064839342609048, 0.005627699661999941, 0.004471600521355867, 135866.125, 156198.734375, 91919.71875, 131226.453125, 145867.359375, 109417.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0671575665473938, 272.0, 0.0, 0.0, 0.0, -0.08766025304794312, -0.03425012156367302, -0.03873394580067061
13325, 0.0017911383183673024, 0.0007298257551155984, 0.0015269436407834291, 2.578866588009987e-05, 135870.078125, 156204.46875, 91923.203125, 131224.796875, 145865.546875, 109415.8203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06863149255514145, 272.0, 0.0, 0.0, 0.0, -0.08760678768157959, -0.03403978794813156, -0.035384147265197244
